Word,Frequency
jack,2
billionaires,3
missing,2
china,44
criticizing,4
government,24
leader,7
hong,29
kong,28
democracy,3
group,10
attacked,3
hammers,1
russia,19
moves,3
grant,1
presidents,1
lifetime,1
immunity,3
prosecution,2
protesters,16
burn,1
lebron,1
james,2
jerseys,1
comments,1
anti,14
vax,3
movement,3
blamed,4
per,2
cent,2
jump,1
measles,4
cases,8
worldwide,2
state,8
dept,2
reverses,1
visa,1
ban,22
allows,2
travelers,1
visas,1
official,10
bus,1
drivers,2
japan,6
taken,2
streets,2
unusual,1
form,1
protest,6
technically,1
strike,6
continuing,1
drive,1
routes,1
refusing,6
take,9
fares,1
passengers,3
schwarzenegger,1
planning,1
sue,1
oil,7
companies,10
knowingly,1
killing,9
people,30
world,32
amazon,7
tribes,2
excited,1
use,12
drones,1
detect,2
illegal,9
deforestation,2
brazilian,2
rainforest,2
germany,7
shuns,1
trump,96
claims,8
covid,28
outbreak,8
caused,2
chinese,20
lab,1
leak,3
internal,1
report,11
classifies,1
american,7
calculated,1
attempt,3
distract,1
washington,4
failings,1
puerto,2
rican,1
quietly,1
admits,6
died,12
hurricane,1
coronavirus,40
doctors,5
nurses,3
need,3
ptsd,1
treatment,4
virus,3
peaks,1
hospitals,2
warn,2
health,11
leaders,7
trudeau,8
canadians,4
watching,2
unrest,1
police,28
violence,3
shock,2
horror,1
taiwan,8
australia,9
reached,1
agreement,3
two,11
countries,6
exchange,1
raw,1
materials,1
desperately,1
needed,2
battle,2
provide,1
million,17
liters,1
alcohol,3
disinfectant,2
send,3
metric,1
tons,1
mask,4
fabric,1
france,11
hit,8
terror,4
attack,11
woman,4
beheaded,1
church,3
city,6
shut,1
south,11
africa,4
requires,2
disclose,3
salary,1
gap,2
highest,2
lowest,1
paid,5
employees,2
refused,8
demand,7
divert,1
n95,1
masks,3
produced,2
singapore,2
exported,1
asia,2
job,2
soviet,2
officer,6
averted,1
nuclear,3
war,16
dies,9
age,1
fastest,1
supercomputer,1
identified,1
chemicals,2
could,15
stop,12
spreading,2
crucial,2
step,2
toward,2
vaccine,3
canada,17
support,6
return,1
proposed,2
president,30
weekend,3
moscow,3
continues,2
flout,1
international,7
law,10
said,23
monday,3
far,5
right,9
australian,7
politician,4
new,21
zealand,8
mass,6
shooting,1
immigration,3
voted,1
office,3
wednesday,5
ended,1
obama,2
era,2
requirement,1
publish,2
annual,1
number,2
killed,15
drone,2
strikes,2
counterterrorism,1
operations,1
outside,4
zones,1
school,4
cancels,1
play,1
darwin,1
evolution,1
christian,1
parents,4
complain,1
provoked,1
anger,1
among,4
families,2
call,6
decision,4
shameful,1
appeals,1
court,8
upholds,1
suspension,2
travel,5
video,5
russian,12
physically,1
humiliating,1
journalist,13
provokes,1
online,4
outcry,1
editor,1
setting,1
fire,8
front,3
interior,1
ministry,1
warns,6
red,2
line,2
ambassador,5
makes,5
first,15
visit,5
years,16
judge,5
heart,3
overseeing,1
corruption,2
trial,5
involving,2
chief,4
staff,3
democratic,1
republic,4
congo,1
actually,3
stab,1
wounds,1
head,5
drc,1
justice,2
minister,15
revealed,2
zimbabwe,1
schools,2
expel,1
pregnant,1
girls,5
house,11
representatives,1
votes,4
unanimously,2
authorization,1
military,9
force,4
iran,11
prosecutors,1
invite,1
prince,5
andrew,2
talk,2
arrest,7
ghislaine,2
maxwell,2
twitter,5
blocking,2
tweets,3
criticize,1
indian,4
handled,3
pandemic,6
egypt,2
entire,1
icu,1
ward,1
oxygen,3
supply,3
fails,1
