Word,Frequency
legal,7
pot,1
canada,12
sell,2
marijuana,4
liquor,1
stores,1
china,21
breaching,1
every,3
act,4
genocide,2
convention,1
says,23
report,6
uighurs,2
macron,2
calls,5
biden,5
victory,1
chance,1
make,6
planet,2
great,2
trump,48
pushed,1
cia,1
give,4
intelligence,10
kremlin,2
taking,4
action,2
russia,10
arming,1
taliban,1
germany,5
hails,1
couch,1
potatoes,1
heroes,1
coronavirus,28
pandemic,3
egypt,3
announces,4
discovery,3
year,6
old,4
lost,3
gold,1
city,2
luxor,1
described,1
second,5
important,1
archeological,1
since,3
tomb,1
tutankhamun,1
house,5
votes,2
adopting,1
bipartisan,1
provision,1
would,8
require,1
president,14
get,2
approval,1
congress,2
striking,2
iran,6
covid,17
vaccine,6
candidate,1
effective,3
manufacturer,1
julian,1
assange,2
promised,2
pardon,4
lie,1
dnc,1
hacking,1
donald,12
unaware,1
nuclear,2
power,5
according,4
book,2
former,7
national,6
security,6
adviser,3
john,2
bolton,3
new,24
zealand,10
official,3
travel,2
warning,1
zealanders,2
united,17
states,13
due,2
upcoming,1
election,9
civil,3
unrest,1
boris,4
johnson,4
easing,1
lockdown,3
throw,1
away,4
effort,3
sacrifice,1
british,2
people,14
amazon,9
reportedly,4
tried,2
shut,4
virtual,1
event,2
workers,10
speak,1
company,2
response,2
deleting,1
employees,2
calendar,1
invites,1
surprised,1
even,4
heard,2
wales,1
hits,3
back,3
criticises,1
country,8
look,2
forward,1
welcoming,1
joe,1
next,3
plaid,1
cymru,1
leader,3
brazilian,3
jair,1
bolsonaro,1
tests,2
positive,7
tested,2
north,5
korea,7
open,7
air,4
space,2
invite,2
media,4
cover,2
dismantlement,1
test,5
site,3
poland,1
denmark,1
exclude,1
tax,6
companies,4
relief,4
schemes,2
regret,1
inform,1
one,9
beloved,1
moderators,1
passed,1
two,3
teenage,1
boys,3
rescued,3
brand,2
lifesaving,1
drone,2
australia,3
lifeguards,1
still,3
training,2
use,6
spotted,1
struggling,1
heavy,1
surf,1
700m,1
300ft,1
offshore,2
lifesavers,1
sent,2
drop,1
inflatable,1
rescue,2
pod,1
pair,1
made,4
way,4
safely,1
shore,1
refuses,3
join,1
global,4
led,1
coca,3
cola,3
ditch,1
single,3
plastic,5
bottles,3
consumers,1
want,4
firm,3
head,3
sustainability,1
told,5
bbc,6
giant,2
produces,1
packaging,1
equivalent,1
minute,1
found,4
polluting,1
waste,1
break,1
free,12
administration,7
restores,1
aid,1
palestinians,1
reversing,1
policy,2
confirmed,2
cases,7
growing,2
faster,1
world,16
facebook,2
admits,4
zuckerberg,1
wiped,1
messages,2
surpasses,1
leads,1
conservative,1
party,2
received,1
cash,2
nine,2
russian,3
donors,1
named,1
suppressed,1
sex,7
marriage,3
postal,1
survey,1
yes,1
students,1
japan,4
submit,1
petition,1
raise,1
age,2
consent,2
rights,4
pioneer,1
viola,1
desmond,1
black,1
woman,1
refused,1
leave,2
whites,1
section,1
canadian,1
movie,1
theatre,1
nearly,3
decade,1
rosa,1
parks,1
defiance,1
honoured,1
newest,1
bill,2
hottest,1
day,7
history,3
france,3
police,2
tear,1
gas,4
peaceful,2
climate,9
change,5
protesters,4
paris,4
mayors,2
adopt,1
accord,2
pulls,3
group,3
represent,1
million,3
americans,1
largest,3
cities,1
outlined,1
plan,5
align,1
nations,6
adopted,1
vancouver,1
council,3
passes,2
motion,1
criminalize,1
poverty,2
things,1
like,7
mental,1
health,4
work,5
homelessness,1
substance,1
plate,1
law,3
enforcement,1
nobel,1
peace,5
prize,1
winner,1
yazidi,1
activist,2
nadia,1
murad,1
repeatedly,1
raped,1
held,2
captive,1
isis,3
months,2
escaping,1
fighters,1
nazis,2
nuremberg,1
captured,1
alive,2
need,4
brought,1
justice,2
court,6
see,3
rewards,1
frontline,1
immigrant,1
citizenship,2
hong,5
kong,5
withdraw,1
much,1
money,2
possible,2
banks,1
currency,1
dollars,1
protect,2
assets,2
show,3
mainland,1
semiautonomous,1
island,2
cow,1
government,6
said,4
households,1
install,1
solar,4
panels,2
future,1
expected,2
unused,1
clean,3
energy,5
firms,3
earning,1
multimillion,1
pound,1
profits,2
provoking,1
outrage,2
green,3
campaigners,1
mueller,1
draft,1
helped,4
putin,5
destabilize,1
watergate,1
journalist,4
spy,2
agencies,2
determined,1
eavesdropping,1
personal,3
phone,1
order,3
gain,1
information,3
influence,1
american,8
syria,2
signing,2
agreement,3
leaving,1
alone,1
rest,1
seized,1
pork,1
dumplings,1
african,4
swine,1
fever,1
patients,3
hospital,7
active,2
remain,1
britons,1
life,1
return,1
normal,1
noticed,1
significant,1
changes,1
including,3
cleaner,1
wildlife,1
stronger,1
communities,1
secretly,2
admitted,2
hurricane,1
map,1
doctored,1
explosive,1
documents,1
reveal,1
eroding,1
public,7
trust,3
noaa,1
agency,1
chief,2
scientist,1
warns,2
italian,1
priest,2
gave,2
respirator,2
younger,2
patient,2
dies,2
disease,1
know,1
died,1
white,4
ethics,1
director,1
giving,1
hotel,1
contract,3
reached,2
bottom,1
level,2
corruption,2
greater,1
participating,1
award,1
time,9
pay,5
living,1
wage,4
taxes,7
benefits,1
mind,1
come,2
stable,1
full,1
contracts,1
trudeau,4
blames,1
corporate,1
elites,1
rise,3
anger,1
points,1
record,2
overworked,1
underpaid,1
hope,3
keeping,1
earth,4
habitable,1
requires,2
sucking,1
carbon,4
atmosphere,1
study,3
porn,1
sites,1
encourage,1
protest,1
german,4
neo,1
getting,1
explosives,1
supremacist,2
camp,2
worst,1
perpetrator,1
false,3
america,2
monitoring,1
freedom,2
expression,1
dozens,1
priests,4
defy,1
vatican,2
live,2
stream,1
blessings,1
gay,4
couples,2
paedophile,2
hunters,1
violate,1
right,7
privacy,2
supreme,4
rules,3
convict,1
appeal,1
dismissed,2
interests,2
children,4
priority,1
interest,1
could,4
allowed,4
engage,1
criminal,1
conduct,1
never,1
mentioned,1
bounties,1
thinks,1
fake,4
news,4
mexico,4
legalizes,1
medical,2
decree,1
issued,2
mexican,2
enrique,1
peña,1
nieto,1
today,3
legalized,1
cannabis,3
medicinal,1
overwhelming,2
support,7
lower,1
research,3
finds,3
beat,1
trusting,1
leaders,6
following,2
advice,1
citizens,2
high,1
knowledge,1
spread,3
compliance,1
basic,1
hygiene,1
practices,1
authorities,1
weeks,1
inauguration,1
shown,1
highly,1
classified,2
indicating,1
vladimir,2
personally,1
ordered,1
complex,1
cyberattacks,1
sway,1
beats,1
community,3
chinese,4
social,2
censors,1
hashtag,1
speech,1
whistleblower,2
doctor,1
rhino,2
numbers,2
increase,1
nepal,1
talks,2
nothing,2
shallow,1
trick,1
good,2
wuhan,3
doctors,1
celebrate,2
closure,1
last,2
temporary,1
dramatic,1
fall,1
finally,1
stop,3
saudi,8
arabia,5
yemen,1
sucks,1
wells,3
dry,2
chiapas,1
forcing,1
residents,3
buy,3
water,2
bottling,1
plant,1
consumes,1
millions,3
liter,1
per,1
judge,2
orders,2
release,3
records,1
might,1
tie,1
royals,1
federal,1
ruling,3
raises,5
hopes,1
may,1
better,2
understand,1
ties,2
family,3
hijackers,1
vast,2
majority,1
colombia,1
top,4
sniffer,1
dog,1
moved,1
ensure,1
safety,1
drug,2
gang,2
put,4
price,1
sombra,1
shadow,1
almost,2
tonnes,1
cocaine,1
bring,3
arrest,1
suspects,1
favour,1
returned,1
native,1
fund,2
thanks,3
irish,2
across,2
officials,5
shaken,1
requests,1
help,6
counter,1
impeachment,1
inquiry,2
300m,1
puerto,2
rico,2
recovery,2
awarded,1
tiny,1
utility,1
linked,1
major,3
donor,1
disappear,1
summer,1
flu,1
looking,1
banning,1
tiktok,2
apps,1
pompeo,1
male,2
escort,2
exposes,1
actively,3
file,1
containing,1
erotic,1
whatsapp,1
photos,2
allegations,2
compiled,1
local,2
hypocrisy,1
longer,1
conference,1
erupts,1
laughter,1
rep,1
promotes,1
coal,3
spain,1
approves,3
minimum,4
income,1
wants,3
india,5
stand,2
net,1
neutrality,1
clear,3
non,3
discriminatory,1
internet,1
access,2
negotiable,1
telecom,1
minister,5
congressman,1
offered,1
covered,1
links,1
blackwater,2
pardons,1
affront,1
kenya,1
elephant,1
population,2
doubled,1
1980s,1
park,3
currently,2
baby,1
boom,1
drought,1
efforts,4
poachers,1
pfizer,1
testing,3
pill,1
successful,3
become,3
first,8
ever,3
home,2
cure,2
south,6
implement,1
deal,4
win,4
includes,1
large,1
scale,1
investments,1
renewable,2
phase,1
financing,1
institutions,1
supporting,1
transition,2
jobs,2
asked,4
outbreak,1
service,2
signed,1
executive,1
formally,1
withdrawing,1
nation,3
trans,1
pacific,3
partnership,1
trade,6
multiple,1
sources,3
plane,2
shot,2
iranian,1
surface,1
missile,1
seek,1
passing,1
names,1
uighur,3
dissidents,2
regime,1
justin,2
border,2
stay,1
closed,2
gets,2
control,2
place,2
feel,2
comfortable,1
reopening,1
borders,1
usa,2
elsewhere,1
around,5
continue,4
keep,4
controls,1
conservation,1
privately,1
owned,1
sequoia,1
grove,1
left,1
ancient,1
forest,1
hundreds,2
endangered,1
redwood,1
trees,1
years,4
tall,1
statue,1
liberty,1
jacinda,1
ardern,2
anyone,5
outbreaks,1
quite,1
easily,1
yesterday,1
compare,1
tens,1
thousands,3
ireland,1
private,5
hospitals,1
duration,1
state,1
take,2
facilities,1
virus,2
treated,2
part,2
french,3
nicolas,1
sarkozy,1
proposed,1
europe,3
impose,1
imports,1
pact,1
super,1
rich,6
call,3
higher,2
wealthy,1
portugal,1
universal,3
perhaps,1
mandatory,1
structure,3
notre,2
dame,2
saved,2
say,5
total,1
destruction,1
fully,2
legalize,1
week,5
fulfilling,1
campaing,1
promise,1
barring,1
diplomat,1
entering,1
address,1
assassination,1
military,2
baghdad,1
violating,1
terms,1
headquarters,1
taiwan,2
tsai,2
ing,1
wen,1
wins,3
presidential,3
term,2
beating,1
beijing,1
friendly,1
rival,1
